Libelle du departement,Inscrits,Abstentions,Votants,Exprimes,Blancs,Nuls,Tendance,Annee,Evolution_Tx_Chomage,Vols de vehicules_Tauxpourmille,Vols d'accessoires sur vehicules_Tauxpourmille,Coups et blessures volontaires intrafamiliaux_Tauxpourmille,Vols avec armes_Tauxpourmille,Violences sexuelles_Tauxpourmille,Destructions et degradations volontaires_Tauxpourmille,Vols dans les vehicules_Tauxpourmille,Coups et blessures volontaires_Tauxpourmille,Vols sans violence contre des personnes,Cambriolages de logement,Vols violents sans arme,Autres coups et blessures volontaires_Tauxpourmille,proba_extreme droite,proba_centre,proba_droite,proba_extreme gauche,prediction
Seine-Maritime,881658,177294,704364,686526,14085,3753,extreme droite,2017,-0.17499999999999893,0.010191620000000068,-0.023667880999999946,-0.07089371599999983,0.01444065600000001,0.020626916999999967,0.30059688599999923,1.0789345349999997,0.01321357100000009,-0.09566625400000017,-0.7202684550000003,-0.08412459500000002,0.08410728700000014,6.44889964000502E-4,0.00916219122165425,0.9858733721661442,0.004319546648201043,droite
Paris,1368025,296668,1071357,1055062,11028,5267,centre,2022,-1.625,-0.715990847,0.09140111099999992,1.053424196,-0.117250205,0.9749727149999998,-1.781471810000001,0.07254129399999965,1.9796770319999997,-4.581041819999996,1.295491546,-2.174055482,0.9262528370000003,1.2596270358718538E-9,0.9730652440408828,1.9098474439503987E-7,0.02693456371474596,centre
Paris,1301637,210200,1091437,1076557,10627,4253,centre,2017,-0.6499999999999986,-0.43451658800000015,-0.044237654000000015,0.07083062499999992,-0.014593310999999998,0.05425674800000002,-0.6002771399999993,-0.10817938499999968,0.33977720000000033,0.950048670000001,0.5234960520000005,-0.04276898200000101,0.2689465750000002,3.0588140788569524E-6,0.9823087833503188,0.015472096161307776,0.0022160616742948037,centre
Haute-Savoie,565665,129384,436281,427139,6918,2224,centre,2022,-1.3499999999999988,-0.4360818150000001,0.11671069700000003,1.2129082410000003,-0.014863516,0.44964762599999997,-0.5421460229999999,-0.637857484,1.645250501,0.49269141500000124,-2.133951209,-0.14153337900000001,0.43234226,0.059010054156830055,0.9398471066267506,4.368515273882999E-4,7.059876890309232E-4,centre
Haute-Savoie,540031,116267,423764,413487,7726,2551,droite,2017,-0.3000000000000007,0.009799563999999927,-0.10385938399999994,-0.09256653800000003,-0.016597938,0.10319447599999998,0.3436777339999999,0.033579201999999864,-0.0033720900000000498,-0.19640813000000001,0.3508492670000001,0.06288089800000002,0.08919444700000012,1.1183466123065977E-4,0.1699324462213988,0.8292045616216882,7.511574956824977E-4,droite
Savoie,320709,68929,251780,246358,3931,1491,centre,2022,-1.9750000000000005,-0.612259592,-0.125772518,1.0664016,-0.06334341100000002,0.527861237,-0.8588914579999996,-1.2597602230000002,1.5931090820000002,-2.9015879290000015,-1.3076085369999997,-0.228753981,0.5267074819999997,0.047684303950079936,0.9518542613912698,4.238819797555711E-4,3.755267889473774E-5,centre
Savoie,310256,62767,247489,241559,4226,1704,droite,2017,-0.2999999999999998,-0.271083081,-0.05264490399999988,-0.010648599000000036,0.008962711000000012,0.049226411000000025,-0.15512891300000042,-0.02337795999999992,-0.00716575499999994,-0.3850506299999985,0.09774783199999959,-0.080990012,0.003482844000000096,2.0132968979799881E-4,0.07197646079067828,0.9243785532487007,0.0034436562708230222,droite
Sarthe,411308,105454,305854,297062,6694,2098,extreme droite,2022,-1.8499999999999996,-0.11227538199999998,-0.309835976,1.127565476,-0.012414059000000005,0.6571953979999999,-1.173236019,0.2604367499999998,1.5035032720000001,-0.9445040169999999,0.8554579779999996,-0.24398813300000005,0.37593779699999974,0.9479996283869604,0.05198497502942311,1.5767458378282916E-7,1.5238909032725118E-5,extreme droite
Sarthe,405440,73578,331862,322442,7288,2132,droite,2017,-0.07499999999999929,-0.37453528599999997,-0.18242638200000005,0.03254161,0.007195356,-0.02499826599999999,-0.3415764199999991,0.05618828400000009,0.2507252000000002,0.027558247999999175,0.005210967000000011,0.020677258000000087,0.21818358900000012,0.060514396173495334,3.2584701239790826E-4,0.9367145053744811,0.0024452514396256244,droite
Saône-et-Loire,402992,95369,307623,299300,5923,2400,extreme droite,2022,-1.9250000000000007,-0.37744863399999984,0.06182411099999996,0.9565250609999998,0.003803646000000001,0.38314001799999997,-0.6458072639999992,-0.23456774300000016,1.1684970609999996,-0.5663138490000001,-0.5576651340000005,-0.082122153,0.21197199999999983,0.9070740000483536,0.09262706567645342,9.314703803232379E-5,2.0578723716071855E-4,extreme droite
