Libelle du departement,Inscrits,Abstentions,Votants,Exprimes,Blancs,Nuls,Tendance,Total_Pourcentage_Voix_Exp,Annee,Evolution_Tx_Chomage,Vols de vehicules_Tauxpourmille,Vols d'accessoires sur vehicules_Tauxpourmille,Coups et blessures volontaires intrafamiliaux_Tauxpourmille,Vols avec armes_Tauxpourmille,Violences sexuelles_Tauxpourmille,Destructions et degradations volontaires_Tauxpourmille,Vols dans les vehicules_Tauxpourmille,Coups et blessures volontaires_Tauxpourmille,Vols sans violence contre des personnes,Cambriolages de logement,Vols violents sans arme,Autres coups et blessures volontaires_Tauxpourmille,prediction
Ariège,119039,25028,94011,91704,1532,775,gauche,3.5,2022,-2.1249999999999982,-0.376457265,-0.26457389200000003,1.115593065,0.025913843000000002,0.7893530799999999,0.32005753400000003,0.29039956200000017,1.7354259410000004,0.06726491800000023,-1.7600835199999998,-0.079066423,0.6198328759999998,5.580244402579529
Aube,205551,52384,153167,149670,2339,1158,centre,28.69,2022,-2.3750000000000018,-0.19288826400000003,0.14534524300000018,1.273325546,0.015820227,0.651954705,-1.6384713369999995,-0.49906956700000005,1.8512261839999997,-0.6028651439999999,-0.38422663100000065,-0.24699206100000004,0.577900638,19.623191522067966
Aube,205551,52384,153167,149670,2339,1158,droite,11.14,2022,-2.3750000000000018,-0.19288826400000003,0.14534524300000018,1.273325546,0.015820227,0.651954705,-1.6384713369999995,-0.49906956700000005,1.8512261839999997,-0.6028651439999999,-0.38422663100000065,-0.24699206100000004,0.577900638,25.147007562419045
Aube,205551,52384,153167,149670,2339,1158,extreme droite,40.550000000000004,2022,-2.3750000000000018,-0.19288826400000003,0.14534524300000018,1.273325546,0.015820227,0.651954705,-1.6384713369999995,-0.49906956700000005,1.8512261839999997,-0.6028651439999999,-0.38422663100000065,-0.24699206100000004,0.577900638,31.3169784654905
Aube,205551,52384,153167,149670,2339,1158,extreme gauche,18.470000000000002,2022,-2.3750000000000018,-0.19288826400000003,0.14534524300000018,1.273325546,0.015820227,0.651954705,-1.6384713369999995,-0.49906956700000005,1.8512261839999997,-0.6028651439999999,-0.38422663100000065,-0.24699206100000004,0.577900638,21.140477319530152
Aube,205551,52384,153167,149670,2339,1158,gauche,1.15,2022,-2.3750000000000018,-0.19288826400000003,0.14534524300000018,1.273325546,0.015820227,0.651954705,-1.6384713369999995,-0.49906956700000005,1.8512261839999997,-0.6028651439999999,-0.38422663100000065,-0.24699206100000004,0.577900638,5.677044873646908
Aude,279927,62972,216955,212426,2962,1567,centre,23.27,2022,-2.5999999999999996,-0.11957580499999998,-0.2049559230000002,0.5964724720000003,-0.025163572999999995,0.672649058,-1.1526610120000012,-0.5635088580000001,1.1069364489999995,-1.7531544630000004,-1.1997609579999997,-0.19718056300000003,0.5104639769999999,20.095210370256414
Aude,279927,62972,216955,212426,2962,1567,droite,11.27,2022,-2.5999999999999996,-0.11957580499999998,-0.2049559230000002,0.5964724720000003,-0.025163572999999995,0.672649058,-1.1526610120000012,-0.5635088580000001,1.1069364489999995,-1.7531544630000004,-1.1997609579999997,-0.19718056300000003,0.5104639769999999,24.46575380704703
Aude,279927,62972,216955,212426,2962,1567,extreme droite,38.82,2022,-2.5999999999999996,-0.11957580499999998,-0.2049559230000002,0.5964724720000003,-0.025163572999999995,0.672649058,-1.1526610120000012,-0.5635088580000001,1.1069364489999995,-1.7531544630000004,-1.1997609579999997,-0.19718056300000003,0.5104639769999999,30.04655738736865
Aude,279927,62972,216955,212426,2962,1567,extreme gauche,23.74,2022,-2.5999999999999996,-0.11957580499999998,-0.2049559230000002,0.5964724720000003,-0.025163572999999995,0.672649058,-1.1526610120000012,-0.5635088580000001,1.1069364489999995,-1.7531544630000004,-1.1997609579999997,-0.19718056300000003,0.5104639769999999,21.583917139515812
Aude,279927,62972,216955,212426,2962,1567,gauche,2.9,2022,-2.5999999999999996,-0.11957580499999998,-0.2049559230000002,0.5964724720000003,-0.025163572999999995,0.672649058,-1.1526610120000012,-0.5635088580000001,1.1069364489999995,-1.7531544630000004,-1.1997609579999997,-0.19718056300000003,0.5104639769999999,4.751229394456896
